CODE,STATE,CITY,LON,LAT,X,Y,POP,GDP
20151,KS,Pratt County,-98.74012,37.647594,-537.4903668357429,4232.160714905076,9739,263715900
20153,KS,Rawlins County,-101.076738,39.786198,-707.4577350069663,4500.0076950505045,2545,70138300
20155,KS,Reno County,-98.078346,37.948185,-474.8019511070463,4258.430827884068,64058,1510331300
20157,KS,Republic County,-97.650921,39.82891,-412.35653437685573,4463.428556753792,4806,121672000
20159,KS,Rice County,-98.201415,38.347178,-480.22381487813846,4304.212925687442,10014,237202400
20161,KS,Riley County,-96.727489,39.291211,-339.65017694470765,4394.471630425731,75022,1799961700
20163,KS,Rooks County,-99.324492,39.346006,-563.5620074328235,4428.320903797199,5186,123900900
20165,KS,Rush County,-99.309183,38.523592,-574.811776066133,4336.446112526768,3184,79100900
20167,KS,Russell County,-98.765638,38.916839,-521.4917505464099,4373.953924982254,6988,182582900
20169,KS,Saline County,-97.650153,38.786327,-426.1208360158877,4347.332671707097,55735,1429126600
20171,KS,Scott County,-100.90636,38.481877,-715.5451799287054,4352.098320370373,4928,148723500
20173,KS,Sedgwick County,-97.459451,37.683807,-423.52990461525064,4222.591425011641,506529,13177642900
20175,KS,Seward County,-100.854741,37.180585,-733.0102146256058,4206.014605356377,23274,475757600
20177,KS,Shawnee County,-95.755664,39.041805,-258.32997704077735,4358.071449119419,178792,4772189400
20179,KS,Sheridan County,-100.441206,39.350542,-660.1691189941669,4442.848856618516,2531,72722000
20181,KS,Sherman County,-101.719859,39.351352,-770.9461665521758,4460.562697981051,6054,131894000
20183,KS,Smith County,-98.785429,39.78466,-510.42141842062955,4470.874782671286,3740,102159800
20185,KS,Stafford County,-98.719889,38.03563,-530.18883093163,4275.203482769875,4320,110057000
20187,KS,Stanton County,-101.789383,37.565932,-809.7418198842644,4262.033885634105,2149,48760700
20189,KS,Stevens County,-101.315796,37.202356,-773.8841263840483,4214.705250038851,5772,143304200
20191,KS,Sumner County,-97.493349,37.236663,-432.14414925162913,4173.110061644269,23638,572376100
20193,KS,Thomas County,-101.083438,39.357706,-715.6765806901387,4452.2896384331325,7925,208501600
20195,KS,Trego County,-99.865423,38.921302,-617.2139543028069,4387.591444092063,2951,85040100
20197,KS,Wabaunsee County,-96.201262,38.955154,-297.9718964393616,4352.277911608318,6997,167662000
20199,KS,Wallace County,-101.771103,38.926626,-783.2843050464601,4413.870129116644,1595,45082300
20201,KS,Washington County,-97.095611,39.776714,-365.36309833507994,4452.031832385215,5686,133278100
20203,KS,Wichita County,-101.347434,38.481922,-754.2679720194326,4358.168913676395,2204,51501600
20205,KS,Wilson County,-95.745175,37.558515,-273.15389908928483,4192.96002421093,9061,204220900
20207,KS,Woodson County,-95.757553,37.888484,-270.78951697724625,4229.778709280096,3211,68817700
20209,KS,Wyandotte County,-94.763087,39.115384,-171.545525487068,4358.380532477241,160806,3041110000
21001,KY,Adair County,-85.2814,37.105541,652.7089515297113,4107.962404332629,18852,344550800
21003,KY,Allen County,-86.192458,36.75077,572.0864263386883,4067.529025213478,20355,421396900
21005,KY,Anderson County,-84.986417,38.005396,676.7831387101237,4208.326885693671,21761,529953800
21007,KY,Ballard County,-89.009178,37.05112,321.3408673270908,4102.431162987198,8256,198606600
21009,KY,Barren County,-85.92499,36.963614,595.6972895175194,4091.375831105369,42925,869738300
21011,KY,Bath County,-83.737641,38.152249,785.870136219244,4227.738272848774,11978,224216200
21013,KY,Bell County,-83.681046,36.72268,796.4241015562257,4069.2459854033414,27950,382939300
21015,KY,Boone County,-84.731444,38.974595,696.5193055296065,4316.405092535421,124617,3721827900
21017,KY,Bourbon County,-84.20986,38.202562,744.314407823111,4231.970660263586,20013,472702800
21019,KY,Boyd County,-82.681406,38.360004,877.3827103680389,4254.595248146775,48917,1259349400
21021,KY,Boyle County,-84.873016,37.6182,687.7186168275144,4165.58227137897,29388,657358000
21023,KY,Bracken County,-84.100355,38.678523,752.2413708747122,4285.093731256211,8425,177375900
21025,KY,Breathitt County,-83.322401,37.521178,825.029510346204,4159.049034338947,13591,213880600
21027,KY,Breckinridge County,-86.432829,37.778109,549.9459693737389,4181.347661268453,20061,384861400
21029,KY,Bullitt County,-85.703036,37.969572,613.9193956315859,4203.232322890976,76961,1882350500
21031,KY,Butler County,-86.682471,37.207013,528.1757439908483,4117.884608677504,12835,237467400
21033,KY,Caldwell County,-87.87051,37.148643,422.6956640737131,4111.716677473981,12826,267290800
21035,KY,Calloway County,-88.274086,36.620978,386.0739125538276,4053.583246091519,38106,788838000
21037,KY,Campbell County,-84.379583,38.946981,727.0925231483288,4314.158644534858,91475,2583997700
21039,KY,Carlisle County,-88.975757,36.857726,323.8680391367865,4080.9116338185845,4984,107149300
21041,KY,Carroll County,-85.124083,38.668284,663.2011373714747,4281.636377181699,10830,217995300
21043,KY,Carter County,-83.048821,38.309555,845.5035940132993,4247.55336749959,27326,517760600
21045,KY,Casey County,-84.92822,37.321962,683.5693848208399,4132.602348088249,15954,279611000
21047,KY,Christian County,-87.493554,36.893388,456.0241174993998,4083.159369249465,74159,1454561700
21049,KY,Clark County,-84.144974,37.970133,750.790733777097,4206.347355210618,35657,908963200
21051,KY,Clay County,-83.710763,37.164466,792.0755354538084,4118.185216821888,21300,293983000
21053,KY,Clinton County,-85.153499,36.729124,664.8835589948735,4066.4131282160615,10188,170257400
21055,KY,Crittenden County,-88.10501,37.358149,402.14200387873046,4135.176848103368,9222,195950000
21057,KY,Cumberland County,-85.393499,36.784227,643.3483925543766,4072.1399743111324,6807,119602800
