source,target,weight
1502400,1506906,2.0
1502400,1507003,1.0
1502400,1507102,1.0
1502400,1507409,5.0
1502400,1507466,1.0
1502400,1507607,3.0
1502400,1507961,6.0
1502400,1508001,1.0
1502400,1508100,1.0
1502509,1600303,2.0
1502608,1501402,5.0
1502608,1507003,1.0
1502608,1508209,2.0
1502707,1502152,3.0
1502707,1503044,1.0
1502707,1505437,1.0
1502707,1505536,2.0
1502707,1506138,4.0
1502707,1506583,2.0
1502707,1507300,1.0
1502707,1705508,1.0
1502707,1706001,5.0
1502756,1500206,2.0
1502756,1501907,1.0
1502756,1504059,1.0
1502756,1507201,2.0
1502756,1508001,2.0
1502764,1506138,1.0
1502764,1506583,1.0
1502764,1506708,1.0
1502772,1502152,3.0
1502772,1502954,9.0
1502772,1504208,1.0
1502772,1505536,33.0
1502772,1507300,2.0
1502772,2105500,1.0
1502772,3162922,1.0
1502806,1505700,1.0
1502806,1507706,1.0
1502855,1302603,1.0
1502855,1505106,5.0
1502855,3550308,1.0
1502905,1501303,1.0
1502905,1501402,3.0
1502905,1501709,1.0
1502905,1502400,8.0
1502905,1503408,1.0
1502905,1504406,7.0
1502905,1506104,1.0
1502905,1506500,2.0
1502905,1507961,1.0
1502939,1505502,1.0
1502939,1506187,3.0
1502939,1508126,3.0
1502939,2100055,1.0
1502939,2101202,1.0
1502939,2105427,20.0
1502939,3529401,1.0
1502954,1505536,4.0
1502954,1507458,1.0
1503002,1302603,1.0
1503002,1303007,13.0
1503044,1502707,1.0
1503044,1506138,4.0
1503044,1716307,1.0
1503044,1721000,1.0
1503077,1501709,1.0
1503077,1502301,2.0
1503077,1502400,1.0
1503077,1504950,1.0
1503077,1505502,1.0
1503077,1506559,1.0
1503093,1501782,2.0
1503093,1507953,1.0
1503101,1501808,1.0
1503200,1500800,1.0
1503200,1501402,3.0
1503200,1502400,5.0
1503200,1504307,1.0
1503200,1504406,7.0
1503200,1507409,3.0
1503200,1508209,2.0
1503309,1302603,1.0
1503309,1500107,4.0
1503309,1501303,2.0
1503309,1501402,4.0
1503309,1502103,3.0
1503309,1504703,6.0
1503408,1501204,1.0
1503408,1501402,4.0
1503408,1501907,1.0
1503408,1502202,1.0
1503408,1502400,51.0
1503408,1506500,2.0
1503457,1504059,1.0
1503457,1505502,1.0
1503457,1506203,1.0
1503457,1507607,1.0
1503457,1508001,1.0
1503507,1502301,4.0
1503507,1503457,1.0
1503507,1504059,4.0
1503507,1505502,1.0
1503507,1507607,20.0
1503507,3549805,1.0
1503606,1302603,1.0
1503606,1504208,1.0
1503606,1505031,2.0
1503606,1506195,1.0
1503606,1506807,2.0
1503606,1508050,5.0
1503606,1600501,1.0
1503606,2504405,1.0
1503606,3550308,1.0
1503705,1504208,6.0
1503705,1505536,3.0
1503804,1503093,1.0
1503804,1504208,5.0
1503804,1505064,1.0
1503804,2105302,4.0
1503804,2203909,1.0
1503903,1303403,1.0
1504059,1500800,1.0
1504059,1500958,12.0
1504059,1501402,1.0
1504059,1503457,2.0
1504059,1503507,1.0
1504059,1505502,1.0
1504059,1507201,2.0
1504109,1500800,2.0
1504109,1501402,17.0
1504109,1502400,2.0
1504109,1504307,3.0
1504109,1504406,1.0
1504208,1501303,2.0
1504208,1501402,1.0
1504208,1502954,3.0
1504208,1503457,9.0
1504208,1503705,7.0
1504208,1504976,2.0
1504208,1505064,2.0
1504208,1505486,1.0
1504208,1505536,10.0
1504208,1506161,1.0
1504208,1506187,1.0
1504208,1507151,3.0
1504208,1507508,1.0
1504208,1508100,1.0
1504208,1508407,1.0
1504208,1702109,1.0
1504208,2101202,1.0
1504208,2102325,1.0
1504208,3106200,1.0
1504208,3550308,1.0
1504208,5208707,2.0
1504307,1501402,4.0
1504307,1503200,2.0
1504406,1501402,4.0
1504406,1501501,2.0
1504406,1502202,2.0
1504406,1502400,5.0
1504406,1502905,6.0
1504406,1507409,3.0
1504406,1507961,1.0
1504406,1508209,1.0
1504422,1500800,325.0
1504422,1501303,3.0
1504422,1501402,1077.0
1504422,1501501,25.0
1504422,1502400,2.0
1504422,1502806,1.0
1504422,1504109,1.0
1504422,1505502,1.0
1504422,1506302,1.0
1504422,1506351,1.0
1504422,1506500,8.0
1504422,1507300,1.0
1504422,1507953,2.0
1504455,1500602,2.0
1504455,1508159,3.0
1504505,1501402,1.0
1504505,1501808,4.0
1504505,1503101,1.0
1504604,1501204,2.0
1504604,1501402,2.0
1504604,1502103,5.0
1504604,1503309,1.0
1504604,1504703,6.0
1504604,1508001,1.0
1504703,1500107,1.0
1504703,1501303,2.0
1504703,1501402,1.0
1504703,1503309,1.0
1504703,1507953,16.0
1504703,3304557,1.0
1504802,1302603,4.0
1504802,1500404,1.0
1504802,1500503,1.0
1504802,1506005,1.0
1504802,1600279,1.0
1504901,1502509,1.0
1504901,1507706,1.0
1504950,1501956,1.0
1504950,1502301,1.0
1504950,1503077,5.0
1504950,1504059,1.0
1504976,1501576,2.0
1504976,1503804,2.0
1504976,1504208,8.0
1504976,2308708,1.0
1505007,1500800,2.0
1505007,1501402,4.0
1505007,1501600,3.0
1505007,1502202,5.0
1505007,1502400,2.0
1505007,1505601,4.0
1505007,1506609,1.0
1505007,1507607,1.0
1505031,1501402,2.0
1505031,2102903,1.0
1505031,5107909,1.0
1505064,1503093,1.0
1505064,1505486,1.0
1505064,1505650,1.0
1505064,1507300,2.0
1505106,1302603,3.0
1505106,1501402,1.0
1505106,1503903,1.0
1505205,1501105,1.0
1505205,1502806,2.0
1505304,1302603,3.0
1505304,1503903,1.0
1505304,1504802,1.0
1505304,3106200,1.0
1505403,1501402,4.0
1505403,1501600,2.0
1505403,1502301,17.0
1505403,1506104,2.0
1505403,1506203,1.0
1505403,1506559,2.0
1505437,1508084,8.0
1505437,5208707,1.0
1505486,1508100,1.0
1505494,1501402,1.0
1505494,1501758,5.0
1505494,1503705,1.0
1505494,1504208,10.0
1505494,1505536,2.0
1505494,1507151,1.0
1505494,1701002,1.0
1505494,1702208,5.0
1505494,5103353,1.0
1505502,1501402,2.0
1505502,1503457,1.0
1505502,1505536,1.0
1505502,1507607,2.0
1505502,1508001,3.0
1505502,1508084,1.0
1505502,1508100,1.0
1505502,1508126,7.0
1505502,2102903,1.0
1505502,2103307,3.0
1505502,2105302,1.0
1505536,1502152,25.0
1505536,1502772,4.0
1505536,1502954,2.0
1505536,1504208,20.0
1505536,1505437,1.0
1505536,2102325,1.0
1505536,2105302,2.0
1505536,2108108,1.0
1505536,2111300,4.0
1505536,3106705,1.0
1505536,5103403,1.0
1505536,5208608,1.0
1505551,1502764,2.0
1505551,1506138,20.0
1505551,1506583,1.0
1505551,1508407,1.0
1505601,1501402,4.0
1505601,1502202,32.0
1505601,1502400,1.0
1505601,1502954,1.0
1505601,1505007,5.0
1505601,1505502,4.0
1505601,1506609,1.0
1505601,1508126,1.0
1505635,1702109,2.0
1505635,2306306,1.0
1505635,5208707,1.0
1505650,1400100,1.0
1505650,1508159,1.0
1505809,1501402,1.0
1505809,1507706,1.0
1505908,1302603,1.0
1506005,1302603,1.0
1506005,1504802,1.0
1506005,1506807,1.0
1506104,1501303,3.0
1506104,1501402,8.0
1506104,1502202,8.0
1506104,1505601,2.0
1506104,1506112,5.0
1506104,1506203,1.0
1506104,1506906,1.0
1506104,1507474,1.0
1506112,1501402,15.0
1506112,1502202,2.0
